Date,Open,High,Low,Close,Volume,Ticker,Country
2015-01-02,29.35,29.35,29.35,29.35,0,VCN.TO,Canada
2015-01-05,29.62,29.62,29.62,29.62,0,VCN.TO,Canada
2015-01-06,29.62,29.62,29.62,29.62,0,VCN.TO,Canada
2015-01-07,28.81,28.81,28.81,28.81,0,VCN.TO,Canada
2015-01-08,28.62,28.62,28.62,28.62,0,VCN.TO,Canada
2015-01-09,28.66,28.66,28.66,28.66,0,VCN.TO,Canada
2015-01-12,28.85,28.85,28.85,28.85,0,VCN.TO,Canada
2015-01-13,28.85,28.85,28.85,28.85,0,VCN.TO,Canada
2015-01-14,28.58,28.58,28.58,28.58,0,VCN.TO,Canada
2015-01-15,28.35,28.35,28.35,28.35,0,VCN.TO,Canada
2015-01-16,28.11,28.11,28.11,28.11,0,VCN.TO,Canada
2015-01-19,28.67,28.67,28.67,28.67,0,VCN.TO,Canada
2015-01-20,28.67,28.67,28.67,28.67,0,VCN.TO,Canada
2015-01-21,28.67,28.67,28.67,28.67,0,VCN.TO,Canada
2015-01-22,28.68,28.68,28.68,28.68,0,VCN.TO,Canada
2015-01-23,29.21,29.21,29.21,29.21,0,VCN.TO,Canada
2015-01-26,29.69,29.69,29.69,29.69,0,VCN.TO,Canada
2015-01-27,29.69,29.69,29.69,29.69,0,VCN.TO,Canada
2015-01-28,29.68,29.68,29.68,29.68,0,VCN.TO,Canada
2015-01-29,29.72,29.72,29.72,29.72,0,VCN.TO,Canada
2015-01-30,29.3,29.3,29.3,29.3,0,VCN.TO,Canada
2015-02-02,29.51,29.51,29.51,29.51,0,VCN.TO,Canada
2015-02-03,29.51,29.51,29.51,29.51,0,VCN.TO,Canada
2015-02-04,29.93,29.93,29.93,29.93,0,VCN.TO,Canada
2015-02-05,30.28,30.28,30.28,30.28,0,VCN.TO,Canada
2015-02-06,30.1,30.1,30.1,30.1,0,VCN.TO,Canada
2015-02-09,30.3,30.3,30.3,30.3,0,VCN.TO,Canada
2015-02-10,30.3,30.3,30.3,30.3,0,VCN.TO,Canada
2015-02-11,30.42,30.42,30.42,30.42,0,VCN.TO,Canada
2015-02-12,30.42,30.42,30.42,30.42,0,VCN.TO,Canada
2015-02-13,30.46,30.46,30.46,30.46,0,VCN.TO,Canada
2015-02-17,30.76,30.76,30.76,30.76,0,VCN.TO,Canada
2015-02-18,30.76,30.76,30.76,30.76,0,VCN.TO,Canada
2015-02-19,30.78,30.78,30.78,30.78,0,VCN.TO,Canada
2015-02-20,30.61,30.61,30.61,30.61,0,VCN.TO,Canada
2015-02-23,30.53,30.53,30.53,30.53,0,VCN.TO,Canada
2015-02-24,30.53,30.53,30.53,30.53,0,VCN.TO,Canada
2015-02-25,30.54,30.54,30.54,30.54,0,VCN.TO,Canada
2015-02-26,30.51,30.51,30.51,30.51,0,VCN.TO,Canada
2015-02-27,30.7,30.7,30.7,30.7,0,VCN.TO,Canada
2015-03-02,30.74,30.74,30.74,30.74,0,VCN.TO,Canada
2015-03-03,30.74,30.74,30.74,30.74,0,VCN.TO,Canada
2015-03-04,30.81,30.81,30.81,30.81,0,VCN.TO,Canada
2015-03-05,30.5,30.5,30.5,30.5,0,VCN.TO,Canada
2015-03-06,30.41,30.41,30.41,30.41,0,VCN.TO,Canada
2015-03-09,30.15,30.15,30.15,30.15,0,VCN.TO,Canada
2015-03-10,30.15,30.15,30.15,30.15,0,VCN.TO,Canada
2015-03-11,29.98,29.98,29.98,29.98,0,VCN.TO,Canada
2015-03-12,29.54,29.54,29.54,29.54,0,VCN.TO,Canada
2015-03-13,29.7,29.7,29.7,29.7,0,VCN.TO,Canada
2015-03-16,29.77,29.77,29.77,29.77,0,VCN.TO,Canada
2015-03-17,29.77,29.77,29.77,29.77,0,VCN.TO,Canada
2015-03-18,30.03,30.03,30.03,30.03,0,VCN.TO,Canada
2015-03-19,30.13,30.13,30.13,30.13,0,VCN.TO,Canada
2015-03-20,30.16,30.28,30.15,30.22,21700,VCN.TO,Canada
2015-03-23,30.22,30.22,30.22,30.22,0,VCN.TO,Canada
2015-03-24,30.22,30.22,30.22,30.22,0,VCN.TO,Canada
