Date,Open,High,Low,Close,Volume,Ticker,Country
2015-01-02,43.7,43.7699,43.34,43.5,19664,IEUR,Europe
2015-01-05,42.77,42.77,42.12,42.2,95089,IEUR,Europe
2015-01-06,42.29,42.36,41.69,41.78,30866,IEUR,Europe
2015-01-07,41.9,42.23,41.7,42.16,20317,IEUR,Europe
2015-01-08,42.42,42.9,42.42,42.71,40755,IEUR,Europe
2015-01-09,42.82,42.82,42.26,42.55,31159,IEUR,Europe
2015-01-12,42.59,42.6199,42.285,42.5,19241,IEUR,Europe
2015-01-13,43.09,43.13,42.38,42.66,19367,IEUR,Europe
2015-01-14,42.38,42.75,42.365,42.6,25816,IEUR,Europe
2015-01-15,42.84,43.0804,42.63,42.9,15777,IEUR,Europe
2015-01-16,43.05,43.43,42.77,43.32,29431,IEUR,Europe
2015-01-20,44.48,44.48,43.5701,43.67,25452,IEUR,Europe
2015-01-21,43.97,44.05,43.719,44.05,40078,IEUR,Europe
2015-01-22,44.08,44.31,43.87,44.21,43238,IEUR,Europe
2015-01-23,44.22,44.29,43.897,43.99,316245,IEUR,Europe
2015-01-26,44.31,44.68,44.15,44.59,196756,IEUR,Europe
2015-01-27,44.56,44.7,44.2701,44.49,93282,IEUR,Europe
2015-01-28,45.4,45.4,43.82,43.83,68811,IEUR,Europe
2015-01-29,44.14,44.56,44.14,44.51,43172,IEUR,Europe
2015-01-30,44.34,44.34,43.86,44.02,4086709,IEUR,Europe
2015-02-02,44.01,44.3799,43.9101,44.36,109216,IEUR,Europe
2015-02-03,45.04,45.39,44.81,45.25,77680,IEUR,Europe
2015-02-04,45.2,45.2,44.65,44.65,51604,IEUR,Europe
2015-02-05,45.45,45.4599,44.968,45.45,98858,IEUR,Europe
2015-02-06,45.31,45.31,44.56,44.58,155388,IEUR,Europe
2015-02-09,44.52,44.69,44.32,44.58,56474,IEUR,Europe
2015-02-10,44.97,45.05,44.6101,45.02,46731,IEUR,Europe
2015-02-11,44.86,44.86,44.45,44.72,71062,IEUR,Europe
2015-02-12,45.16,45.69,45.16,45.69,70790,IEUR,Europe
2015-02-13,46.01,46.01,45.4,45.7,70690,IEUR,Europe
2015-02-17,45.83,45.95,45.42,45.91,54915,IEUR,Europe
2015-02-18,46.05,46.1675,45.78,46.11,37000,IEUR,Europe
2015-02-19,46.13,46.249,45.94,46.02,51649,IEUR,Europe
2015-02-20,45.99,46.73,45.79,46.71,75125,IEUR,Europe
2015-02-23,46.53,46.53,46.23,46.46,247280,IEUR,Europe
2015-02-24,46.5,46.7999,46.36,46.73,87312,IEUR,Europe
2015-02-25,46.82,46.82,46.505,46.69,78069,IEUR,Europe
2015-02-26,46.59,46.7099,46.41,46.56,99518,IEUR,Europe
2015-02-27,46.67,46.8799,46.41,46.6699,107226,IEUR,Europe
2015-03-02,46.6,46.76,46.4721,46.64,301589,IEUR,Europe
2015-03-03,46.59,46.59,46.13,46.26,71225,IEUR,Europe
2015-03-04,46.09,46.6299,45.72,46.16,77075,IEUR,Europe
2015-03-05,46.34,46.42,46.12,46.3099,114489,IEUR,Europe
2015-03-06,45.97,45.97,45.33,45.42,97671,IEUR,Europe
2015-03-09,45.6,45.65,45.3621,45.61,175105,IEUR,Europe
2015-03-10,45.02,45.02,44.4101,44.57,80414,IEUR,Europe
2015-03-11,44.56,44.6799,44.3,44.49,103087,IEUR,Europe
