Date,Open,High,Low,Close,Volume,Ticker,Country
2015-01-02,61.17,61.17,60.49,60.63,509525,AAXJ,AsiaPacific
2015-01-05,60.61,60.61,59.88,59.94,614037,AAXJ,AsiaPacific
2015-01-06,59.6,59.838,59.04,59.32,725938,AAXJ,AsiaPacific
2015-01-07,60.0,60.37,59.96,60.36,837844,AAXJ,AsiaPacific
2015-01-08,60.96,61.53,60.92,61.4,2052973,AAXJ,AsiaPacific
2015-01-09,61.49,61.61,61.17,61.36,2575706,AAXJ,AsiaPacific
2015-01-12,61.4,61.58,61.11,61.18,684380,AAXJ,AsiaPacific
2015-01-13,61.96,62.24,61.35,61.74,774353,AAXJ,AsiaPacific
2015-01-14,61.36,61.49,60.96,61.43,1837034,AAXJ,AsiaPacific
2015-01-15,62.26,62.44,61.94,61.96,2208861,AAXJ,AsiaPacific
2015-01-16,61.51,62.2,61.48,62.17,1174774,AAXJ,AsiaPacific
2015-01-20,61.82,62.04,61.78,61.96,1209556,AAXJ,AsiaPacific
2015-01-21,62.58,63.07,62.42,63.07,2593167,AAXJ,AsiaPacific
2015-01-22,63.28,64.02,62.96,63.9,3442832,AAXJ,AsiaPacific
2015-01-23,63.87,64.04,63.81,63.83,870938,AAXJ,AsiaPacific
2015-01-26,63.88,64.08,63.65,64.0,1185482,AAXJ,AsiaPacific
2015-01-27,63.53,63.72,63.33,63.55,1271411,AAXJ,AsiaPacific
2015-01-28,63.67,63.81,62.99,63.09,806237,AAXJ,AsiaPacific
2015-01-29,63.21,63.256,62.69,63.23,961262,AAXJ,AsiaPacific
2015-01-30,62.44,62.54,61.87,61.91,1800691,AAXJ,AsiaPacific
2015-02-02,62.68,63.05,62.46,62.92,1152691,AAXJ,AsiaPacific
2015-02-03,63.17,63.575,62.9,63.54,3336012,AAXJ,AsiaPacific
2015-02-04,64.0,64.08,63.45,63.62,4902155,AAXJ,AsiaPacific
2015-02-05,63.27,63.63,63.18,63.59,745813,AAXJ,AsiaPacific
2015-02-06,63.17,63.17,62.64,62.8,1288228,AAXJ,AsiaPacific
2015-02-09,62.65,62.66,62.41,62.52,376999,AAXJ,AsiaPacific
2015-02-10,62.67,62.76,62.44,62.64,514203,AAXJ,AsiaPacific
2015-02-11,62.3,62.57,62.16,62.42,602675,AAXJ,AsiaPacific
2015-02-12,62.88,63.22,62.8,63.17,1033607,AAXJ,AsiaPacific
2015-02-13,63.45,63.69,63.17,63.66,1400899,AAXJ,AsiaPacific
2015-02-17,63.62,63.66,63.28,63.51,738314,AAXJ,AsiaPacific
2015-02-18,63.43,63.61,63.16,63.52,365534,AAXJ,AsiaPacific
2015-02-19,63.42,63.57,63.21,63.35,427546,AAXJ,AsiaPacific
2015-02-20,63.35,63.75,63.13,63.66,1084692,AAXJ,AsiaPacific
2015-02-23,63.3,63.5,63.09,63.21,487617,AAXJ,AsiaPacific
2015-02-24,63.57,64.0094,63.2835,63.87,3455089,AAXJ,AsiaPacific
2015-02-25,63.88,63.95,63.7532,63.76,3678897,AAXJ,AsiaPacific
2015-02-26,64.1,64.13,63.83,63.935,606568,AAXJ,AsiaPacific
2015-02-27,63.96,64.1,63.82,63.83,820487,AAXJ,AsiaPacific
2015-03-02,63.96,64.12,63.78,64.09,1361085,AAXJ,AsiaPacific
2015-03-03,63.89,63.9,63.61,63.7,721403,AAXJ,AsiaPacific
2015-03-04,63.08,63.36,62.98,63.27,764504,AAXJ,AsiaPacific
2015-03-05,63.27,63.29,63.0,63.11,627488,AAXJ,AsiaPacific
2015-03-06,62.96,63.02,62.32,62.52,1225362,AAXJ,AsiaPacific
2015-03-09,62.59,62.63,62.415,62.46,520461,AAXJ,AsiaPacific
2015-03-10,61.49,61.62,61.18,61.19,743628,AAXJ,AsiaPacific
2015-03-11,61.38,61.589,61.35,61.54,966651,AAXJ,AsiaPacific
2015-03-12,62.1,62.2901,61.995,62.05,1025449,AAXJ,AsiaPacific
2015-03-13,61.71,61.71,61.27,61.48,1368574,AAXJ,AsiaPacific
2015-03-16,61.93,62.3201,61.92,62.255,787310,AAXJ,AsiaPacific
2015-03-17,62.16,62.63,62.07,62.59,1148389,AAXJ,AsiaPacific
2015-03-18,62.56,63.89,62.37,63.66,991189,AAXJ,AsiaPacific
2015-03-19,63.38,63.38,63.01,63.31,1987352,AAXJ,AsiaPacific
2015-03-20,63.51,63.89,63.5,63.76,1607396,AAXJ,AsiaPacific
2015-03-23,63.98,63.98,63.58,63.77,942694,AAXJ,AsiaPacific
2015-03-24,63.74,63.86,63.66,63.85,1776670,AAXJ,AsiaPacific
2015-03-25,63.76,63.9,63.09,63.09,605274,AAXJ,AsiaPacific
2015-03-26,63.05,63.12,62.73,62.98,552639,AAXJ,AsiaPacific
2015-03-27,63.15,63.4,63.08,63.28,551934,AAXJ,AsiaPacific
2015-03-30,64.02,64.41,63.78,64.32,546109,AAXJ,AsiaPacific
2015-03-31,63.94,64.12,63.77,64.0,418994,AAXJ,AsiaPacific
2015-04-01,64.4,64.64,64.29,64.62,1206047,AAXJ,AsiaPacific
2015-04-02,64.93,65.38,64.9,65.3,670918,AAXJ,AsiaPacific
2015-04-06,65.62,66.13,65.55,65.83,1138907,AAXJ,AsiaPacific
2015-04-07,65.8,65.93,65.62,65.62,512868,AAXJ,AsiaPacific
2015-04-08,67.21,67.425,66.92,67.2,1484642,AAXJ,AsiaPacific
2015-04-09,67.75,68.535,67.75,68.36,1723565,AAXJ,AsiaPacific
2015-04-10,68.13,68.43,67.94,68.35,784998,AAXJ,AsiaPacific
2015-04-13,68.61,68.86,68.27,68.32,1542639,AAXJ,AsiaPacific
2015-04-14,68.23,68.44,67.99,68.28,1363629,AAXJ,AsiaPacific
2015-04-15,68.12,68.48,68.09,68.45,1273239,AAXJ,AsiaPacific
2015-04-16,68.67,69.28,68.54,69.03,1985058,AAXJ,AsiaPacific
2015-04-17,67.62,67.97,67.35,67.85,1668427,AAXJ,AsiaPacific
2015-04-20,67.84,68.1,67.67,67.95,725999,AAXJ,AsiaPacific
2015-04-21,68.6,68.76,68.38,68.43,1119352,AAXJ,AsiaPacific
2015-04-22,69.07,69.17,68.8,69.13,973264,AAXJ,AsiaPacific
2015-04-23,69.14,69.56,68.92,69.42,1448691,AAXJ,AsiaPacific
2015-04-24,69.7,69.7,69.45,69.505,779240,AAXJ,AsiaPacific
