Date,Crypto,Open,High,Low,Close,Volume
2018-01-01,Bitcoin,14112.2,14112.2,13154.7,13657.2,10291200000.0
2018-01-02,Bitcoin,13625.0,15444.6,13163.6,14982.1,16846600192.0
2018-01-03,Bitcoin,14978.2,15572.8,14844.5,15201.0,16871900160.0
2018-01-04,Bitcoin,15270.7,15739.7,14522.2,15599.2,21783199744.0
2018-01-05,Bitcoin,15477.2,17705.199,15202.8,17429.5,23840899072.0
2018-01-06,Bitcoin,17462.1,17712.4,16764.6,17527.0,18314600448.0
2018-01-07,Bitcoin,17527.301,17579.6,16087.7,16477.6,15866000384.0
2018-01-08,Bitcoin,16476.199,16537.9,14208.2,15170.1,18413899776.0
2018-01-09,Bitcoin,15123.7,15497.5,14424.0,14595.4,16659999744.0
2018-01-10,Bitcoin,14588.5,14973.3,13691.2,14973.3,18500800512.0
2018-01-11,Bitcoin,14968.2,15018.8,13105.9,13405.8,16534099968.0
2018-01-12,Bitcoin,13453.9,14229.9,13158.1,13980.6,12065699840.0
2018-01-13,Bitcoin,13952.4,14659.5,13952.4,14360.2,12763599872.0
2018-01-14,Bitcoin,14370.8,14511.8,13268.0,13772.0,11084099584.0
2018-01-15,Bitcoin,13767.3,14445.5,13641.7,13819.8,12750799872.0
2018-01-16,Bitcoin,13836.1,13843.1,10194.9,11490.5,18853799936.0
2018-01-17,Bitcoin,11431.1,11678.0,9402.29,11188.6,18830600192.0
2018-01-18,Bitcoin,11198.8,12107.3,10942.5,11474.9,15020399616.0
2018-01-19,Bitcoin,11429.8,11992.8,11172.1,11607.4,10740400128.0
2018-01-20,Bitcoin,11656.2,13103.0,11656.2,12899.2,11801700352.0
2018-01-21,Bitcoin,12889.2,12895.9,11288.2,11600.1,9935179776.0
2018-01-22,Bitcoin,11633.1,11966.4,10240.2,10931.4,10537400320.0
2018-01-23,Bitcoin,10944.5,11377.6,10129.7,10868.4,9660609536.0
2018-01-24,Bitcoin,10903.4,11501.4,10639.8,11359.4,9940989952.0
2018-01-25,Bitcoin,11421.7,11785.7,11057.4,11259.4,8873169920.0
2018-01-26,Bitcoin,11256.0,11656.7,10470.3,11171.4,9746199552.0
2018-01-27,Bitcoin,11174.9,11614.9,10989.2,11440.7,7583269888.0
2018-01-28,Bitcoin,11475.3,12040.3,11475.3,11786.3,8350360064.0
2018-01-29,Bitcoin,11755.5,11875.6,11179.2,11296.4,7107359744.0
2018-01-30,Bitcoin,11306.8,11307.2,10036.2,10106.3,8637859840.0
2018-01-31,Bitcoin,10108.2,10381.6,9777.42,10221.1,8041160192.0
2018-02-01,Bitcoin,10237.3,10288.8,8812.28,9170.54,9959400448.0
2018-02-02,Bitcoin,9142.28,9142.28,7796.49,8830.75,12726899712.0
2018-02-03,Bitcoin,8852.12,9430.75,8251.63,9174.91,7263790080.0
2018-02-04,Bitcoin,9175.7,9334.87,8031.22,8277.01,7073549824.0
2018-02-05,Bitcoin,8270.54,8364.84,6756.68,6955.27,9285289984.0
2018-02-06,Bitcoin,7051.75,7850.7,6048.26,7754.0,13999800320.0
2018-02-07,Bitcoin,7755.49,8509.11,7236.79,7621.3,9169280000.0
2018-02-08,Bitcoin,7637.86,8558.77,7637.86,8265.59,9346750464.0
2018-02-09,Bitcoin,8271.84,8736.98,7884.71,8736.98,6784820224.0
2018-02-10,Bitcoin,8720.08,9122.55,8295.47,8621.9,7780960256.0
2018-02-11,Bitcoin,8616.13,8616.13,7931.1,8129.97,6122189824.0
2018-02-12,Bitcoin,8141.43,8985.92,8141.43,8926.57,6256439808.0
2018-02-13,Bitcoin,8926.72,8958.47,8455.41,8598.31,5696719872.0
2018-02-14,Bitcoin,8599.92,9518.54,8599.92,9494.63,7909819904.0
2018-02-15,Bitcoin,9488.32,10234.8,9395.58,10166.4,9062540288.0
2018-02-16,Bitcoin,10135.7,10324.1,9824.82,10233.9,7296159744.0
2018-02-17,Bitcoin,10207.5,11139.5,10149.4,11112.7,8660880384.0
2018-02-18,Bitcoin,11123.4,11349.8,10326.0,10551.8,8744009728.0
2018-02-19,Bitcoin,10552.6,11273.8,10513.2,11225.3,7652089856.0
2018-02-20,Bitcoin,11231.8,11958.5,11231.8,11403.7,9926540288.0
2018-02-21,Bitcoin,11372.2,11418.5,10479.1,10690.4,9405339648.0
